n,A,B,C,D
261,1,0,0,1
262,1,0,0,1
263,1,0,0,1
264,0,1,1,0
265,0,1,0,1
266,1,0,0,1
267,1,0,1,0
268,1,0,0,1
269,1,0,0,1
270,1,0,1,0
271,1,0,0,1
272,1,0,1,0
273,1,0,0,1
274,1,0,1,0
275,1,0,1,0
276,1,0,0,1
277,0,1,1,0
278,0,1,0,1
279,0,1,1,0
280,1,0,1,0
281,1,0,0,1
282,1,0,0,1
283,1,0,1,0
284,0,1,1,0
285,1,0,1,0
286,0,1,0,1
287,1,0,0,1
288,1,0,1,0
289,0,1,0,1
290,1,0,0,1
291,1,0,0,1
292,1,0,1,0
293,1,0,0,1
294,1,0,0,1
295,1,0,1,0
296,1,0,0,1
297,1,0,0,1
298,1,0,1,0
299,1,0,0,1
300,1,0,0,1
301,1,0,0,1
302,0,1,1,0
303,1,0,0,1
304,1,0,1,0
305,1,0,0,1
306,0,1,1,0
307,0,1,1,0
308,1,0,1,0
309,1,0,0,1
310,1,0,0,1
311,1,0,1,0
312,1,0,1,0
313,0,1,1,0
314,1,0,1,0
315,1,0,0,1
316,1,0,0,1
317,1,0,1,0
318,1,0,0,1
319,0,1,0,1
320,1,0,1,0
321,1,0,1,0
322,0,1,0,1
323,1,0,0,1
324,1,0,0,1
325,0,1,1,0
326,1,0,1,0
327,1,0,0,1
328,1,0,0,1
329,1,0,1,0
330,1,0,1,0
331,1,0,1,0
332,1,0,1,0
333,1,0,1,0
334,1,0,0,1
335,1,0,0,1
336,0,1,0,1
337,1,0,0,1
338,0,1,0,1
339,1,0,0,1
340,1,0,1,0
341,1,0,0,1
342,1,0,0,1
343,1,0,0,1
344,0,1,0,1
345,1,0,0,1
346,1,0,0,1
347,1,0,1,0
348,1,0,0,1
349,1,0,0,1
350,1,0,1,0
351,1,0,0,1
352,1,0,0,1
353,0,1,1,0
354,1,0,0,1
355,0,1,1,0
356,0,1,0,1
357,0,1,0,1
358,1,0,0,1
359,1,0,0,1
360,0,1,0,1
361,1,0,0,1
362,1,0,0,1
363,0,1,1,0
364,1,0,0,1
365,1,0,1,0
366,1,0,1,0
367,1,0,1,0
368,1,0,0,1
369,1,0,0,1
370,1,0,0,1
371,1,0,1,0
372,1,0,0,1
373,1,0,1,0
374,1,0,0,1
375,0,1,1,0
376,1,0,1,0
377,1,0,0,1
378,1,0,0,1
379,1,0,1,0
380,1,0,0,1
381,1,0,1,0
382,1,0,1,0
383,1,0,1,0
384,1,0,1,0
385,0,1,1,0
386,1,0,0,1
387,0,1,0,1
388,1,0,1,0
389,1,0,1,0
390,1,0,0,1
391,1,0,0,1
392,1,0,0,1
393,1,0,1,0
394,0,1,0,1
395,1,0,1,0
396,0,1,0,1
397,0,1,0,1
398,1,0,1,0
399,1,0,1,0
400,0,1,1,0
401,1,0,0,1
402,1,0,0,1
403,1,0,0,1
404,1,0,1,0
405,1,0,0,1
406,1,0,1,0
407,1,0,0,1
408,0,1,1,0
409,0,1,1,0
410,1,0,0,1
411,1,0,1,0
412,1,0,0,1
413,1,0,0,1
414,1,0,1,0
415,1,0,1,0
416,0,1,1,0
417,1,0,1,0
418,1,0,0,1
419,1,0,1,0
420,1,0,0,1
421,1,0,0,1
422,1,0,0,1
423,0,1,1,0
424,1,0,1,0
425,0,1,0,1
426,1,0,1,0
427,0,1,0,1
428,1,0,1,0
429,0,1,1,0
430,1,0,0,1
431,1,0,0,1
432,1,0,0,1
433,1,0,0,1
434,1,0,1,0
435,0,1,0,1
436,1,0,0,1
437,0,1,1,0
438,0,1,0,1
439,1,0,1,0
440,1,0,0,1
441,0,1,0,1
442,1,0,1,0
443,0,1,0,1
444,1,0,1,0
445,0,1,0,1
446,0,1,0,1
447,0,1,0,1
448,0,1,0,1
449,1,0,0,1
450,0,1,0,1
451,1,0,0,1
452,0,1,0,1
453,1,0,1,0
454,1,0,0,1
455,1,0,1,0
456,0,1,0,1
457,0,1,0,1
458,0,1,0,1
459,1,0,0,1
460,1,0,0,1
461,1,0,0,1
462,0,1,0,1
463,0,1,1,0
464,1,0,0,1
465,0,1,0,1
466,0,1,0,1
467,1,0,0,1
468,1,0,0,1
469,1,0,0,1
470,1,0,1,0
471,1,0,1,0
472,0,1,1,0
473,0,1,0,1
474,0,1,1,0
475,0,1,1,0
476,1,0,0,1
477,1,0,0,1
478,1,0,0,1
479,0,1,0,1
480,1,0,1,0
481,0,1,0,1
482,0,1,1,0
483,0,1,0,1
484,1,0,0,1
485,1,0,0,1
486,1,0,0,1
487,1,0,0,1
488,1,0,0,1
489,1,0,0,1
490,1,0,0,1
491,1,0,0,1
492,0,1,1,0
493,1,0,0,1
494,1,0,1,0
495,1,0,0,1
496,1,0,0,1
497,1,0,0,1
498,1,0,0,1
499,0,1,0,1
500,0,1,1,0
